,Type,Diameter,Density,Time1,Time2,Time3,Speed,Reynolds_Water,Reynolds_Oil,CD_Water,CD_Oil,Expected_CD_Water,Expected_CD_Oil
0,Al (Larger),0.01,2860,1.26,1.46,1.4,0.3138075313807531,3131.7991631799164,94.14225941422595,0.08815067764827765,0.09421044496244498,0.512995819274788,1.2155398806747049
1,Al (smaller),0.005,2860,2.13,2.07,2.13,0.20366598778004077,1016.2932790224035,30.54989816700612,0.10463702144522141,0.1118301142191142,0.6061005617305186,2.1048308287362523
2,POM (larger),0.01,1430,3.22,3.28,3.22,0.13204225352112675,1317.781690140845,39.61267605633803,0.23102585734265735,0.29947796322196335,0.579064887449721,1.8284763474100267
3,POM (smaller),0.005,1430,4.1,4.1,4.22,0.10409437890353922,519.4309507286607,15.614156835530883,0.18586683076923072,0.2409384843304843,0.6984003221821206,3.1488267318636916
4,Nylon,0.01,1150,4.94,6.0,5.43,0.07843137254901959,782.7450980392156,23.529411764705877,0.28648695652173894,0.5277391304347828,0.637717935828212,2.4455161229089275
5,Al (Larger),0.01,2860,2.75,2.56,2.68,0.16120365394948952,1608.8124664159054,48.36109618484686,0.3340431858067858,0.35700641232841235,0.5608677099927699,1.6505837861761092
6,Al (smaller),0.005,2860,6.31,6.34,6.13,0.06805807622504538,339.60980036297644,10.208711433756807,0.9370506078218076,1.0014665464905463,0.7794939223458164,4.181170845133678
7,POM (larger),0.01,1430,7.31,7.44,7.22,0.05828638041577618,581.6980765494463,17.485914124732854,1.1856384447552446,1.5369387246827246,0.6801270656374561,2.9304732032982748
8,POM (smaller),0.005,1430,17.77,17.4,17.53,0.02438231469440832,121.66775032509751,3.6573472041612485,3.387712805594406,4.391479562807564,1.0959987603939587,9.022276322326439
9,Nylon,0.01,1150,10.84,10.5,10.9,0.0400427122263748,399.6262680192205,12.012813667912441,1.0991007701127202,2.024659313365539,0.745897603976521,3.741365625074982
